,Word,Frequency
0,I’m #Bullish,1
1,#Bullish on,1
2,on #Bitcoin.,1
3,#Bitcoin. Even,1
4,Even more,1
5,more bullish,1
6,bullish on,1
7,on $ETH.,1
8,$ETH. I,1
9,I like,2
10,like nice,1
11,nice things.,1
12,Dramatization of,1
13,of China,1
14,China banning,1
15,banning #Bitcoin,1
16,#Bitcoin mining,6
17,mining https://t.co/VXV4LZ8Gak,1
18,When Bitcoin,1
19,Bitcoin gets,1
20,gets to,1
21,to $250k,1
22,$250k you,1
23,you won’t,1
24,won’t even,1
25,even remember,1
26,remember whether,1
27,whether your,1
28,your paid,1
29,"paid $34k,",1
30,"$34k, $29k",1
31,$29k or,1
32,or $32k!,1
33,My first,1
34,first time,2
35,time buying,1
36,buying btc,1
37,btc was,1
38,"was 20k,",1
39,"20k, I",1
40,I kept,2
41,kept buying,2
42,buying all,1
43,all the,4
44,the way,5
45,way down,1
46,down to,1
47,to 3500.,1
48,3500. It,1
49,It stayed,1
50,stayed under,1
51,under 10k,1
52,10k for,1
53,for the,4
54,the next,3
55,next 4,1
56,4 years,1
57,years but,1
58,but I,1
59,buying every,1
60,every check,1
61,check nomatter,1
62,nomatter what,1
63,what the,1
64,the price,3
65,"price was,",1
66,"was, The",1
67,The way,1
68,way you,2
69,you win,2
70,win in,1
71,in #bitcoin,3
72,#bitcoin isn't,1
73,isn't by,1
74,by trading,1
75,"trading it,",1
76,"it, the",1
77,win is,1
78,is by,1
79,by having,1
80,having unbreakable,1
81,unbreakable conviction.,1
82,If a,1
83,a hodler,1
84,hodler dies,1
85,dies and,1
86,and their,1
87,their Bitcoin,1
88,Bitcoin is,3
89,is lost.,1
90,lost. Something,1
91,Something interesting,1
92,interesting happens.,1
93,happens. That,1
94,That Hodlers,1
95,Hodlers time,1
96,time and,2
97,and energy,1
98,energy is,1
99,is not,1
100,not lost,2
101,lost The,1
102,The value,1
103,value of,1
104,of their,3
105,"their life,",1
106,"life, transfers",1
107,transfers to,1
108,to the,9
109,the rest,1
110,rest of,1
111,of the,11
112,the network,2
113,network Every,1
114,Every sat,1
115,sat you,1
116,you buy,1
117,buy is,1
118,is a,9
119,a piece,1
120,piece of,1
121,of your,1
122,your life,1
123,life that,1
124,that you,1
125,you have,3
126,have preserved,1
127,preserved for,1
128,for eternity,1
129,eternity You,1
130,You are,1
131,are the,1
132,the hill,1
133,J’ai juré,1
134,juré que,1
135,que c’est,1
136,c’est pas,1
137,pas mérité,1
138,mérité on,1
139,on a,2
140,a tous,1
141,tous envie,1
142,envie de,1
143,de chier,1
144,chier pendant,1
145,pendant que,1
146,que les,1
147,les Suisses,1
148,Suisses en,1
149,en ont,1
150,ont absolument,1
151,absolument rien,1
152,rien a,1
153,a foutre,1
154,foutre du,1
155,du foot,1
156,foot y,1
157,y tweet,1
158,tweet sur,1
159,sur le,1
160,le bitcoin,1
161,Today Cathie,1
162,Cathie Wood’s,1
163,Wood’s ARK,1
164,ARK Invest,3
165,Invest filed,1
166,filed with,1
167,with the,2
168,the Securities,1
169,Securities and,1
170,and Exchange,1
171,Exchange Commission,1
172,Commission to,1
173,to create,2
174,create a,2
175,a #bitcoin,3
176,#bitcoin exchange-traded,1
177,exchange-traded fund.,1
178,fund. (ETF),1
179,(ETF) https://t.co/Mw9eQL2S41,1
180,Bears focusing,1
181,focusing on,1
182,on Tether's,1
183,Tether's impact,1
184,impact on,1
185,on bitcoin,1
186,bitcoin over,3
187,over the,4
188,the past,4
189,past year,1
190,year would,1
191,would have,1
192,have probably,1
193,probably done,1
194,done better,1
195,better to,1
196,to focus,1
197,focus on,1
198,on the,5
199,the Grayscale,1
200,Grayscale neutral,1
201,neutral arbitrage,1
202,arbitrage trade,1
203,trade instead.,1
204,instead. When,1
205,When new,1
206,new competition,1
207,competition resulted,1
208,resulted in,1
209,in the,11
210,the market,1
211,market taking,1
212,taking away,1
213,away GBTC's,1
214,GBTC's premium,1
215,premium to,1
216,"to NAV,",1
217,"NAV, the",1
218,the biggest,2
219,biggest bitcoin,1
220,bitcoin buyer,1
221,buyer stopped,1
222,stopped buying.,1
223,buying. https://t.co/RoAarfw58N,1
224,El Salvador's,1
225,Salvador's 🇸🇻,1
226,🇸🇻 #Bitcoin,1
227,"#Bitcoin wallet,",1
228,"wallet, Chivo,",1
229,"Chivo, will",1
230,will be,6
231,be completely,1
232,completely free,1
233,free to,1
234,to use.,1
235,use. There,1
236,There are,3
237,are no,1
238,no commissions,1
239,commissions to,1
240,to send,1
241,send or,1
242,or receive,2
243,"receive remittances,",1
244,"remittances, to",1
245,to make,4
246,make or,1
247,"receive payments,",1
248,"payments, or",1
249,or even,1
250,even to,1
251,to convert,1
252,convert bitcoin,1
253,bitcoin to,1
254,to dollars,1
255,dollars or,1
256,or vice,1
257,"vice versa.""",1
258,"versa."" says",1
259,says @NayibBukele.,1
260,@NayibBukele. https://t.co/YYyYxzVsFZ,1
261,Invest has,2
262,has filed,2
263,filed for,2
264,for a,6
265,a #Bitcoin,4
266,#Bitcoin ETF.,1
267,ETF. https://t.co/ZtXLjEaKhF,1
268,The Bank,1
269,Bank of,1
270,of Mexico,1
271,Mexico just,1
272,just released,1
273,released a,1
274,a statement,1
275,statement warning,1
276,warning that,1
277,that any,1
278,any banks,1
279,banks that,1
280,that accept,1
281,accept #Bitcoin,2
282,#Bitcoin could,2
283,could face,1
284,face penalties.,1
285,penalties. Central,1
286,Central Banks,1
287,Banks hate,1
288,hate progress.,1
289,progress. https://t.co/sDzxSEvjKT,1
290,*CATHIE WOOD’S,1
291,WOOD’S ARK,1
292,ARK INVEST,1
293,INVEST FILES,1
294,FILES TO,1
295,TO CREATE,1
296,CREATE A,1
297,A BITCOIN,1
298,BITCOIN ETF:,1
299,ETF: CNBC,1
300,#Bitcoin ETF,1
301,ETF (with,1
302,(with 21Shares).,1
303,21Shares). This,2
304,This is,6
305,is the,11
306,the 12th,1
307,12th #BTC,1
308,#BTC ETF,1
309,ETF filing.,1
310,filing. -,1
311,- @EricBalchunas,1
312,BOOM: ARK,1
313,ARK files,1
314,files for,1
315,a bitcoin,1
316,bitcoin ETF,2
317,ETF (in,1
318,(in collab,1
319,collab with,1
320,with 21Shares).,1
321,This would,1
322,would be,1
323,be bitcoin,1
324,ETF filing,1
325,filing #12.,1
326,#12. https://t.co/iaWAdSo9v1,1
327,All your,1
328,your fiat,1
329,fiat based,1
330,based assets,1
331,assets are,1
332,are ultimately,1
333,ultimately secured,1
334,secured by,1
335,by the,4
336,the same,2
337,same legal,1
338,legal system,1
339,system that,1
340,that today,1
341,today made,1
342,made it,1
343,it illegal,1
344,illegal for,1
345,for me,1
346,me to,3
347,to host,1
348,host the,1
349,the Bitcoin,4
350,Bitcoin whitepaper,2
351,whitepaper because,1
352,because a,1
353,a notorious,1
354,notorious liar,1
355,liar swore,1
356,swore before,1
357,before a,1
358,a judge,1
359,judge that,1
360,that he's,1
361,he's Satoshi.,1
362,Satoshi. A,1
363,A system,1
364,system where,1
365,where 'justice',1
366,'justice' depends,1
367,depends on,1
368,on who's,1
369,who's got,1
